id,Player1,Player2,Result,ACE.1,UFE.1,ACE.2,UFE.2,ACE_difference,UFE_difference
78,R.Vinci,J.Cepelova,1,6,30,0,29,6,1
79,P.Martic,Ka.Pliskova,1,5,23,5,27,0,-4
80,T.Pironkova,B.Zahlavova Strycova,1,3,18,6,12,-3,6
81,M.Keys,M.Barthel,1,4,12,1,22,3,-10
82,M.Erakovic,S.Peng,1,6,14,4,16,2,-2
83,O.Puchkova,S.Stosur,0,0,12,3,10,-3,2
84,S.Lisicki,E.Vesnina,1,4,10,2,17,2,-7
85,K.Date-Krumm,A.Cadantu,1,1,21,0,10,1,11
86,S.Williams,C.Garcia,1,9,9,3,5,6,4
87,A.Cornet,F.Pennetta,0,2,22,0,19,2,3
88,V.Dolonc,K.Flipkens,0,0,18,8,14,-8,4
89,C.Suarez Navarro,E.Bouchard,1,1,17,2,32,-1,-15
90,P.Kvitova,E.Makarova,0,2,19,4,5,-2,14
91,K.Knapp,M.Larcher De Brito,1,14,17,0,14,14,3
92,M.Bartoli,C.Giorgi,1,1,12,0,18,1,-6
93,S.Stephens,P.Cetkovska,0,2,17,0,15,2,2
94,M.Puig,E.Birnerova,0,3,10,4,9,-1,1
95,K.Zakopalova,N.Li,0,0,30,4,28,-4,2
96,R.Vinci,D.Cibulkova,1,2,11,0,22,2,-11
97,T.Pironkova,P.Martic,1,1,20,3,27,-2,-7
98,A.Radwanska,M.Keys,1,2,10,15,51,-13,-41
99,A.Riske,K.Kanepi,0,1,9,4,9,-3,0
100,L.Robson,M.Erakovic,1,5,20,12,15,-7,5
101,S.Lisicki,S.Stosur,1,8,13,3,14,5,-1
102,S.Williams,K.Date-Krumm,1,8,12,0,9,8,3
103,K.Flipkens,F.Pennetta,1,6,20,0,19,6,1
104,P.Kvitova,C.Suarez Navarro,1,5,21,1,12,4,9
105,M.Bartoli,K.Knapp,1,1,13,2,16,-1,-3
106,M.Puig,S.Stephens,0,1,22,6,31,-5,-9
107,R.Vinci,N.Li,0,0,4,0,10,0,-6
108,A.Radwanska,T.Pironkova,1,3,11,5,27,-2,-16
109,L.Robson,K.Kanepi,0,9,24,9,18,0,6
110,S.Williams,S.Lisicki,0,7,23,10,25,-3,-2
111,P.Kvitova,K.Flipkens,0,2,28,7,5,-5,23
112,S.Stephens,M.Bartoli,0,3,19,0,12,3,7
113,A.Radwanska,N.Li,1,0,18,1,40,-1,-22
114,S.Lisicki,K.Kanepi,1,3,19,3,23,0,-4
115,M.Bartoli,K.Flipkens,1,5,10,0,6,5,4
116,S.Lisicki,A.Radwanska,1,9,46,1,10,8,36
117,S.Lisicki,M.Bartoli,0,6,25,2,14,4,11
